Name,Section,Title,Day,Start Time,End Time,Location,Instructor
CS 212,L1,Nature of Computation,MW,1:00 PM,2:15 PM,E-011,"Behroz Mirza
Syed Mujtaba Hassan Naqvi"
CS 212,L2,Nature of Computation,WF,8:30 AM,9:45 AM,FF-N219,"Behroz Mirza
Syed Mujtaba Hassan Naqvi"
CS/CE 232/324,L1,Operating Systems,TTh,3:50 PM,5:05 PM,H-506,Bilal Wajid
CS/CE 232/324,L5,Operating Systems,TTh,8:30 AM,9:45 AM,H-504,Bilal Wajid
CS/CE 232L/324L,T1,Operating Systems (Lab),F,10:00 AM,1:00 PM,N-425,"Bilal Wajid
Muhammad Meesum Ali Qazalbash"
CS/CE 232L/324L,T5,Operating Systems (Lab),F,3:30 PM,6:30 PM,GF-E101,"Bilal Wajid
Muhammad Meesum Ali Qazalbash"
CND 107,S1,Creating Culture,F,10:00 AM,1:00 PM,GF-E121,Christie Lauder
COM 214,S1,Reading the Horror Film,TTh,11:30 AM,12:45 PM,FF-E220,Christie Lauder
SOC 214,S1,Social Inequality,TTh,10:00 AM,11:15 AM,FF-E220,Coline Ferrant
SOC 422,S1,SRS: Karachi,WF,8:30 AM,9:45 AM,H-507,Coline Ferrant
COM 201,D1,Production Fundamentals 1,T,9:30 AM,12:50 PM,LG09,Damian Kim Lahey
COM 324,L1,Screenwriting Workshop,M,2:30 PM,5:50 PM,FF-W243,Damian Kim Lahey
COM/DES 225,S1,Super Mario Madness,MW,1:00 PM,2:15 PM,FF-W242,Damian Kim Lahey
CS 491,C3,Capstone (Kaavish) I,W,10:00 AM,11:15 AM,H-502,Faisal Alvi
CS/CE 224/272,L1,OOP & Design Methodologies,TTh,8:30 AM,9:45 AM,E-011,Faisal Alvi
CS/CE 224L/272L,T1,OOP & Design Methodologies Lab,T,10:00 AM,1:00 PM,E-003,Faisal Alvi
CS/PHY 314/300,L1,Quantum Computing,MW,2:30 PM,3:45 PM,FF-N220,Faisal Alvi
CS/PHY 314/300,R1,Quantum Computing,F,4:30 PM,5:20 PM,FF-N220,Faisal Alvi
COM 201L,T1,Production Fundamentals 1(LAB),Th,3:00 PM,6:00 PM,LG09,Faraz Iqbal
COM 201L,T2,Production Fundamentals 1(LAB),F,3:30 PM,6:30 PM,LG09,Faraz Iqbal
DEV 212,S1,Urban Sustainability,TTh,3:50 PM,5:05 PM,GF-C109,Farhan Anwar
SDP 101,S2,Development and Social Change,WF,10:00 AM,11:15 AM,H-507,Farhan Anwar
EE/CE 112,L2,Electric Circuits I,WF,8:30 AM,9:20 AM,E-012,Farhan Khan
EE/CE 423/444,L1,IoT and Cloud Computing,TTh,3:50 PM,5:05 PM,H-501,"Farhan Khan
Tariq Mumtaz"
CORE 201,S9,Pakistan and Modern South Asia,TTh,3:50 PM,5:05 PM,GF-E121,Gabriel Soares
HIST 301,L1,Indian Ocean Connected Pasts,M,8:30 AM,9:20 AM,H-505,Gabriel Soares
HIST 301,S1,Indian Ocean Connected Pasts,F,11:30 AM,1:10 PM,W-321,Gabriel Soares
SDP 206,S3,Social Theory II,TTh,11:30 AM,12:45 PM,FF-W242,Gennaro Errichiello
SOC 323,L1,Global Migration,W,10:30 AM,11:20 AM,H-501,Gennaro Errichiello
SOC 323,S1,Global Migration,M,1:30 PM,3:10 PM,H-503,Gennaro Errichiello
CS 318,L1,Enterprise Software Dev,TTh,11:30 AM,12:45 PM,N-426,Haisum Mussawir
CE/MATH 362/322,L2,Statistics and Inferencing,MW,8:30 AM,9:45 AM,W-321,Hamood ur Rehman Khan
EE 322,L1,Analog & Digital Communication,MW,1:00 PM,2:15 PM,E-012,Hamood ur Rehman Khan
CORE 101,S4,Rhetoric & Communication,W,4:00 PM,5:15 PM,H-503,Hamza Bin Sajjad
